Unnamed: 0,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,possession_team_id,team_id,player_id,foul_won_advantage,foul_won_penalty,foul_won_defensive,off_camera
0,1406ac75-5f2b-4666-a35d-ffd3a8750368,22,1,00:00:16.744,0,16,Foul Won,3,Netherlands,Regular Play,Netherlands,Cody Mathès Gakpo,Left Wing,"[50.5, 29.3]",0.0,1.0,['53d83929-1abe-4d4f-96f8-99ba06919bd3'],3942819,941,941,20750,,,,
1,8fb4c3fd-f9c7-4d45-be2f-65be96b64670,153,1,00:02:42.372,2,42,Foul Won,5,England,From Free Kick,England,Phil Foden,Right Attacking Midfield,"[70.7, 24.3]",0.0,1.0,['ae5ff032-2d77-403f-b730-96cef48b53e8'],3942819,768,768,4354,,,,
2,91a666e3-8adb-4f54-8599-9b81ebdc6920,278,1,00:05:37.408,5,37,Foul Won,10,England,Regular Play,England,Harry Kane,Center Forward,"[88.6, 47.0]",0.0,1.0,"['53d4ecbb-fd34-418c-817d-a741eac52e59', '62dfea84-7b0a-4daf-a597-fca1fc5cbdef']",3942819,768,768,10955,1.0,,,
3,c16f53c8-0968-4379-9aa6-ffe5ffec6b59,385,1,00:08:30.432,8,30,Foul Won,12,England,From Kick Off,England,Jude Bellingham,Left Attacking Midfield,"[91.0, 18.7]",0.0,1.0,"['14e7731b-f38a-4767-b706-1f6031938fd2', '2c17a8b8-1e01-4816-84e2-20758f1ae35b']",3942819,768,768,30714,,,,
4,9e4cf761-87ec-43d9-939f-3f9fbf451b37,400,1,00:10:44.628,10,44,Foul Won,13,England,From Free Kick,England,Bukayo Saka,Right Wing Back,"[84.4, 46.9]",0.0,1.0,['f41ac581-d0dd-4ae1-b742-3b8a581a9aae'],3942819,768,768,22084,,,,
5,93b65573-62db-4500-9657-51d525e06e78,504,1,00:13:43.553,13,43,Foul Won,18,England,From Throw In,England,Harry Kane,Center Forward,"[107.6, 34.3]",0.0,1.0,"['3c32bb56-aae3-4740-a9fb-9e0e45e5819c', '4f8bfb00-7cc6-4ac8-9148-b0072638038d']",3942819,768,768,10955,,1.0,,
6,f0585d2d-7109-4bbf-9bf8-702a7009381b,1092,1,00:32:38.665,32,38,Foul Won,38,England,Regular Play,England,Phil Foden,Right Attacking Midfield,"[62.7, 34.3]",0.0,1.0,"['7adead1c-6924-4b82-ba20-3f063bf18d25', 'de99ac3e-7a52-4ab5-86fb-6da6bee904eb']",3942819,768,768,4354,1.0,,,
7,72f225af-6c4b-439a-97e0-239e21b943b4,1753,2,00:00:40.966,45,40,Foul Won,52,England,Regular Play,England,John Stones,Center Back,"[48.7, 66.6]",0.0,1.0,['a56ed953-bf42-4716-b918-6e345f1eca47'],3942819,768,768,3244,,,1.0,
8,7113e946-72bf-462e-81c1-ef7a050d30c3,1843,2,00:03:38.100,48,38,Foul Won,58,Netherlands,Regular Play,Netherlands,Xavi Simons,Right Wing,"[52.6, 56.0]",0.0,1.0,"['358b7dc7-0543-4725-b175-0377186f2e21', 'aa83b9fc-a824-49bf-ab6a-3cd49ce99d92']",3942819,941,941,39167,,,,
9,fe9726aa-0751-42c6-9aea-8ca7ab82f501,2046,2,00:08:03.808,53,3,Foul Won,66,Netherlands,Regular Play,Netherlands,Tijjani Reijnders,Left Defensive Midfield,"[47.7, 36.8]",0.0,1.0,['27045b12-a49d-429b-9922-252a0ea1c542'],3942819,941,941,21582,1.0,,,
10,bc36a6c3-ae5c-4457-bb35-3421f5f3127c,2421,2,00:16:36.183,61,36,Foul Won,78,Netherlands,Regular Play,Netherlands,Jerdy Schouten,Right Defensive Midfield,"[21.8, 72.7]",0.0,1.0,['4a4c55ac-dbbe-4fdf-be89-16e81fa9a91b'],3942819,941,941,15503,,,,
11,18f442b9-ff80-4361-bf7e-4815c0bd3fd6,2487,2,00:18:10.512,63,10,Foul Won,81,Netherlands,From Throw In,Netherlands,Xavi Simons,Right Wing,"[79.8, 69.9]",0.0,1.0,"['bbbc3903-a153-4b4f-8b8a-6d393fd4daf3', 'cafc89eb-9542-4665-a660-6e3a0767a0dd']",3942819,941,941,39167,,,,
12,97075e6a-06c8-46ac-809f-df524167d0ff,2508,2,00:20:36.887,65,36,Foul Won,84,England,From Goal Kick,England,John Stones,Center Back,"[50.1, 37.1]",0.0,1.0,['8c97d395-5f3e-4925-a6a4-0e2034e8e378'],3942819,768,768,3244,,,1.0,
13,1a570b18-a981-468a-9776-3d6369995085,2588,2,00:23:27.084,68,27,Foul Won,87,Netherlands,From Corner,England,Declan Rice,Left Defensive Midfield,"[5.9, 48.9]",0.0,1.0,['a1a7ca8a-c1d7-43b0-a3e7-5ca49ff43fcb'],3942819,941,768,3943,,,1.0,
14,1a8a81a6-5f47-48a6-953e-08b7c6817394,2702,2,00:26:05.506,71,5,Foul Won,89,Netherlands,From Goal Kick,Netherlands,Stefan de Vrij,Right Center Back,"[68.3, 54.4]",0.0,1.0,"['2759d731-db56-4efc-b53b-af622665ca07', 'b5f120e9-84f6-45ce-8e05-2cf0017ce60d']",3942819,941,941,7787,,,,
15,a68a385b-a82e-4616-8da1-dc3c32de3cee,2729,2,00:27:00.395,72,0,Foul Won,91,England,Regular Play,England,Kobbie Mainoo,Right Defensive Midfield,"[47.7, 59.1]",0.0,1.0,['7f458c4a-35be-43b9-8cc7-f7a62a50bf38'],3942819,768,768,99174,,,,
16,39d4c068-2737-42d7-ac33-29c249ed47eb,2789,2,00:28:42.937,73,42,Foul Won,93,Netherlands,From Goal Kick,Netherlands,Wout Weghorst,Center Forward,"[72.9, 48.9]",0.0,1.0,['c4674e75-591c-4177-8245-0564d1a9087e'],3942819,941,941,7829,1.0,,,
17,8a149537-1406-4937-8de0-34c951ec2949,3202,2,00:38:08.450,83,8,Foul Won,99,Netherlands,Regular Play,Netherlands,Cody Mathès Gakpo,Left Wing,"[89.5, 13.5]",0.0,1.0,['2ba01518-ad65-454d-a7d0-6ebaf1c6764e'],3942819,941,941,20750,1.0,,,
18,89d53e05-0ba6-49ae-a9dc-4d82dd81ee28,3255,2,00:39:14.037,84,14,Foul Won,102,England,Regular Play,England,Jude Bellingham,Left Attacking Midfield,"[78.1, 2.2]",0.0,1.0,"['20010a0c-02be-428f-9e70-59afd8001190', '200f370f-84b5-498e-b13c-8880432b911d']",3942819,768,768,30714,,,,
19,64b02203-ef92-4ebb-87d9-8d4dd2a8c11d,3272,2,00:39:49.306,84,49,Foul Won,104,Netherlands,Regular Play,Netherlands,Denzel Dumfries,Right Back,"[24.0, 67.3]",0.0,1.0,"['22f4842a-5349-4d3e-98e0-5335e0458b5d', 'c678339a-d9c5-490c-a030-24a9c79231c4']",3942819,941,941,8125,1.0,,,
20,946cacc7-12d7-4ea6-a0b6-7ccd984ffc1c,3281,2,00:40:00.133,85,0,Foul Won,104,Netherlands,Regular Play,Netherlands,Cody Mathès Gakpo,Left Wing,"[90.5, 20.4]",0.0,1.0,['0d94c5ea-9d53-44ff-a3f2-65a5490d3edc'],3942819,941,941,20750,,,,
21,83842b1f-0d81-4e80-9404-64c5ebfc2e1d,3339,2,00:43:39.492,88,39,Foul Won,108,England,Regular Play,England,Marc Guehi,Left Center Back,"[30.0, 21.1]",0.0,1.0,"['1c1e5ac6-3d17-43ae-bec5-889907591654', '681e1ff7-893e-4f41-81fd-3ac0a3ee275b']",3942819,768,768,34526,,,,
22,523b0186-fae1-45b8-aae5-a5ae606938b4,3481,2,00:49:30.533,94,30,Foul Won,113,Netherlands,Regular Play,England,Jude Bellingham,Left Attacking Midfield,"[68.7, 5.1]",0.0,1.0,['72cfe148-7380-4e42-b254-15c42b5fd9a6'],3942819,941,768,30714,,,,
23,b3faca9f-afea-47f1-8ab1-78fedeb5d5c3,450,1,00:09:29.599,9,29,Foul Won,19,England,From Throw In,England,Jude Bellingham,Left Wing,"[72.6, 10.6]",0.0,1.0,['8d505287-a875-41d9-997b-5c9c8b32cca9'],3943043,768,768,30714,,,,
24,e937480d-6a23-48ed-92f9-74aa242dc35d,453,1,00:10:15.682,10,15,Foul Won,20,England,From Free Kick,Spain,Aymeric Laporte,Left Center Back,"[13.7, 33.6]",0.0,1.0,['75af291a-dc50-4710-9bcd-081cb4314744'],3943043,768,772,4353,,,1.0,
25,9fd1e96d-7684-4d08-9889-162ee150edc2,748,1,00:19:29.975,19,29,Foul Won,32,Spain,From Throw In,Spain,Daniel Olmo Carvajal,Center Attacking Midfield,"[64.1, 40.6]",0.0,1.0,"['1fcdec9e-7927-460d-b668-8452c424fb6b', 'd1da193e-ab66-45cc-a2ff-ae61dcdb0fe4']",3943043,772,772,16532,1.0,,,
26,13d8d431-c7d5-4d81-aeb8-98a9d110d27b,778,1,00:20:03.472,20,3,Foul Won,32,Spain,From Throw In,Spain,Marc Cucurella Saseta,Left Back,"[80.2, 7.1]",0.0,1.0,"['669ca0e0-dec7-4a23-a9b9-e61c722b06da', 'fe4ee78d-4e23-46f6-9fcc-4d144683b20a']",3943043,772,772,17620,1.0,,,
27,ac25cceb-6322-4913-8318-aa33428ebab7,837,1,00:21:01.932,21,1,Foul Won,33,England,Regular Play,England,Phil Foden,Center Attacking Midfield,"[21.8, 73.6]",0.0,1.0,"['0b545c1e-8cb4-4451-a071-69127f189c9b', 'dc47c881-c6d1-49e5-ae13-e871d3ec8302']",3943043,768,768,4354,,,,
28,075a2848-1b37-4142-8192-6dc7e63c3842,911,1,00:23:20.833,23,20,Foul Won,39,Spain,From Corner,England,Bukayo Saka,Right Wing,"[43.8, 21.0]",0.0,1.0,['9e80ec67-7a62-4ce5-8807-db5b0f55e025'],3943043,772,768,22084,,,,
29,9b6209f1-0533-4b68-bbb7-fc5138b28df2,964,1,00:24:38.584,24,38,Foul Won,42,England,Regular Play,Spain,Fabián Ruiz Peña,Left Defensive Midfield,"[28.3, 30.0]",0.0,1.0,"['62387c1b-d2a2-4ed6-b225-f2ea658e5464', 'fb538032-230d-43b0-a57b-96d52747a583']",3943043,768,772,6655,,,1.0,
30,6603377a-8c6e-4c81-8b81-9950c011617b,1167,1,00:29:57.130,29,57,Foul Won,51,England,Regular Play,England,Declan Rice,Left Defensive Midfield,"[33.6, 42.6]",0.0,,['0117c288-22a0-47d9-be1c-b55c9f9a3601'],3943043,768,768,3943,,,1.0,
